0.000000,60.152516
0.001000,56.575044
0.001200,54.749792
0.001440,54.967309
0.001728,54.849026
0.002074,53.445650
0.002488,53.454042
0.002986,52.559254
0.003583,51.868227
0.004300,51.882083
0.005160,50.521192
0.006192,50.330955
0.007430,49.494167
0.008916,49.946569
0.010699,49.440890
0.012839,50.488161
0.015407,51.038149
0.018488,49.517984
0.022186,49.914417
0.026623,49.158778
0.031948,48.227464
0.038338,47.757672
0.046005,46.933686
0.055206,46.396676
0.066247,45.308250
0.079497,45.765641
0.095396,45.093890
