0.000000,20.151997
0.001000,16.574525
0.001200,14.749272
0.001440,14.966790
0.001728,14.848507
0.002074,13.445131
0.002488,13.453523
0.002986,12.558734
0.003583,11.867708
0.004300,11.881563
0.005160,10.520672
0.006192,10.330435
0.007430,9.493648
0.008916,9.946049
0.010699,9.440370
0.012839,10.487642
0.015407,11.037629
0.018488,9.517464
0.022186,9.913897
0.026623,9.158259
0.031948,8.226945
0.038338,7.757152
0.046005,6.933167
0.055206,6.396156
0.066247,5.307731
0.079497,5.765121
0.095396,5.093371
